70_100,70_80,70_50,70_30,70_0,60_100,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
-0.01915761002,-0.02194521998,-0.01978132209,-0.01843884619,-0.01716472636,-0.01446885543,-0.01502339096,-0.01543389523,-0.01423699726,-0.01207531711,-0.008746071579,-0.009870225794,-0.009097528156,-0.008369381007,-0.007842947733,-0.003387439868,-0.003930484804,-0.005584192559,-0.005097881915,-0.004736981354
-0.023095426,-0.02506346892,-0.02313263069,-0.02206423145,-0.02093884485,-0.01587763518,-0.01689541842,-0.01765209868,-0.01674236181,-0.01441758368,-0.01004812876,-0.01062627968,-0.01015033378,-0.009599267011,-0.009185580267,-0.004004459501,-0.004584789136,-0.006106881695,-0.005731299701,-0.005437778111
-0.0270509343,-0.02811335714,-0.02664088035,-0.02594354784,-0.02496037083,-0.01723303389,-0.01857890684,-0.01992392453,-0.01927993119,-0.01681991793,-0.01128335935,-0.01132249511,-0.01118648371,-0.01081416464,-0.01051409895,-0.004661010226,-0.005254252931,-0.006581726987,-0.006319383017,-0.006104811937
-0.03074568043,-0.03058804742,-0.03026506621,-0.02988079037,-0.02903369395,-0.01845088597,-0.01981295063,-0.02201483365,-0.021649501,-0.01908540018,-0.01223595311,-0.01186740682,-0.01205576198,-0.01187004464,-0.01168187683,-0.005312671364,-0.005868808151,-0.00693482512,-0.006788209586,-0.006647943915
-0.03379654355,-0.03224811333,-0.03365043317,-0.0335011452,-0.03278367836,-0.01943692532,-0.02053728321,-0.02378902672,-0.02366152709,-0.02102044659,-0.01288078157,-0.01221042833,-0.01271912563,-0.01269200332,-0.01260264917,-0.00588723757,-0.006365292043,-0.007148891727,-0.007103885784,-0.007036331045
-0.03608878759,-0.03306916431,-0.03653745097,-0.03657698527,-0.03594724669,-0.02011779789,-0.02069100291,-0.02509846995,-0.02513483658,-0.022485984,-0.01317554909,-0.01231253821,-0.01309774661,-0.01320926862,-0.0132112611,-0.006382824272,-0.006735378887,-0.007204379845,-0.007249971713,-0.007243597397
-0.03734504416,-0.03280689086,-0.03872467123,-0.03884551027,-0.03825818387,-0.02042498429,-0.02019770245,-0.02578668815,-0.02594925152,-0.02334176321,-0.01304957912,-0.01214091975,-0.0131561795,-0.01337096863,-0.01344103827,-0.006723377708,-0.006922439847,-0.007077864999,-0.007196876995,-0.007241820368
-0.03669805793,-0.03090061009,-0.03938762243,-0.03940526438,-0.03881576478,-0.0200024353,-0.01876058519,-0.02537101855,-0.02557438456,-0.02310024827,-0.01231749829,-0.01151875052,-0.01266603514,-0.01293656628,-0.01304795574,-0.006792099604,-0.006807981976,-0.006674786177,-0.006841540147,-0.006919668242
-0.03421005736,-0.02753544685,-0.03812036413,-0.03795885309,-0.03735006428,-0.01878838543,-0.01653863638,-0.02380882187,-0.02399808702,-0.02173394689,-0.01107581725,-0.01047292975,-0.01165844736,-0.01193800622,-0.01207060121,-0.006556726978,-0.006391458811,-0.006030476173,-0.006220744315,-0.006317504831
-0.0300488383,-0.02297559797,-0.0350050195,-0.03459059677,-0.03398289158,-0.01683828109,-0.01372486935,-0.02123503669,-0.02139183372,-0.01937990864,-0.009448592473,-0.00905459454,-0.01020923518,-0.01047638684,-0.01060672959,-0.006062205801,-0.005722003326,-0.005189364667,-0.005392962251,-0.005491806352
