70_100,70_80,70_50,70_30,70_0,60_100,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
-0.04216864033,,-0.04272395683,,-0.04300603633,,-0.02503340183,,-0.02530703639,-0.02536101537,,-0.01425292613,-0.01433251797,,,-0.007572784756,,,-0.007623249937,-0.007629770704
-0.04278191264,,-0.0431206068,,-0.04336231557,,-0.02479807096,,-0.02499799265,-0.02504673339,,-0.01387388795,-0.01392892661,,,-0.007272813152,,,-0.007302347082,-0.007306640352
-0.04162143374,,-0.04175436137,,-0.0419433394,,-0.0235918468,,-0.02371440121,-0.02375603535,,-0.01299041903,-0.01301867285,,,-0.006730966982,,,-0.006739830076,-0.006742592874
-0.03840942592,,-0.03837228568,,-0.03852476221,,-0.02135585475,,-0.02140956564,-0.02144956934,,-0.01160475331,-0.0116104484,,,-0.005960869147,,,-0.005952766303,-0.005955572401
-0.03343832827,,-0.03325310643,,-0.03337189252,,-0.01829708442,,-0.01828599736,-0.01832482353,,-0.009843386421,-0.009827556478,,,-0.005028882943,,,-0.005004808974,-0.005007287549
-0.02730512397,,-0.02693344326,,-0.02696293634,,-0.01472201591,,-0.01462128559,-0.01463966487,,-0.00786203381,-0.007817532947,,,-0.004010254946,,,-0.003961251518,-0.003958229253
-0.01992378774,,-0.01943844904,,-0.01941342047,,-0.01063079406,,-0.01047955577,-0.01049039829,,-0.005664776339,-0.005606563172,,,-0.002899378444,,,-0.002842115014,-0.00283815978
-0.0122050234,,-0.01178111691,,-0.01177258463,,-0.006483346926,,-0.006355009361,-0.006373842581,,-0.003464720538,-0.003417662607,,,-0.001784891885,,,-0.001743462481,-0.001743414747
-0.00500725417,,-0.004728936772,,-0.004709561017,,-0.002649365557,,-0.002566321689,-0.002575256042,,-0.001426123614,-0.001398142465,,,-0.0007433252391,,,-0.0007206864441,-0.000720886548
0.001093510937,,0.0009378651343,,0.0008963218888,,0.0005830314147,,0.0005253433918,0.0005204203628,,0.0003274911366,0.0003077664501,,,0.0001823347774,,,0.0001633152117,0.0001605154863
0.005242319686,,0.00423376201,,0.004015618373,,0.002806592542,,0.002467443514,0.002451728605,,0.001620806518,0.001509577,,,0.0009249568701,,,0.0008277877904,0.0008171335213
0.007029355157,,0.00489043998,,0.004467343937,,0.003841336684,,0.003124628629,0.003101592299,,0.002369392104,0.00212899898,,,0.001448407223,,,0.001237971337,0.001216714347
0.007057357973,,0.003925486574,,0.003302124157,,0.003952154498,,0.002866058026,0.002834516621,,0.00265673865,0.002276097323,,,0.001768759858,,,0.001429217061,0.001397319409
0.006134177283,,0.002149222545,,0.001304171832,,0.003508559969,,0.002048011561,0.00197892186,,0.002637432129,0.002103181531,,,0.001943580901,,,0.001455615291,0.001405575351
0.00434033773,,0.000110899919,,-0.0008087377202,,0.002531328206,,0.0008376460304,0.0007444243071,,0.002281427197,0.001608304468,,,0.001948611235,,,0.001302968833,0.001234380834
0.002637547725,,-0.001174754178,,-0.002076002854,,0.001490140745,,-0.000226751694,-0.0003457193017,,0.001744046569,0.000985594571,,,0.0018117767,,,0.00102692099,0.0009426261488
0.001333663956,,-0.001749511395,,-0.002548512822,,0.0006765690483,,-0.0009140297337,-0.001059356925,,0.001205149247,0.0004183398899,,,0.001601258402,,,0.0007084605893,0.0006094641309
0.0003573931595,,-0.001912495069,,-0.00255923144,,0.0001031102082,,-0.001268176481,-0.001424971388,,0.0007530575593,-1.73E-05,,,0.001371738802,,,0.0004048859187,0.0002912072929
-0.0004382943319,,-0.001874231088,,-0.002366344325,,-0.0003211195917,,-0.001414815276,-0.001564430323,,0.0003840982322,-0.0003385647143,,,0.001146775781,,,0.0001335018015,6.66E-06
-0.0006767105581,,-0.001656460553,,-0.002068897079,,-0.0005473929437,,-0.001363247779,-0.001498355171,,0.0001467029439,-0.0004954263045,,,0.0009491582162,,,-6.17E-05,-0.0002022094501
-0.00075378555,,-0.001434133747,,-0.001777329831,,-0.0006555733167,,-0.001258202908,-0.001373042353,,-3.46E-05,-0.0005817946734,,,0.0007841063567,,,-0.0002024251584,-0.0003570583573
-0.0007133990806,,-0.001219121419,,-0.001506417143,,-0.0006935795672,,-0.001120962685,-0.00121359349,,-0.0001691462651,-0.0006144826384,,,0.0006448678681,,,-0.0002963497673,-0.0004627991528
-0.0006049750654,,-0.001025504199,,-0.001264379454,,-0.0006536603334,,-0.0009694437125,-0.001042481347,,-0.0002573708383,-0.000599454809,,,0.0005315362068,,,-0.000343760876,-0.000521273538
-0.0005056287512,,-0.0008780115503,,-0.001076917249,,-0.0005804202549,,-0.0008320529281,-0.0008863302167,,-0.0002811614702,-0.0005486889951,,,0.0004419256447,,,-0.0003494203355,-0.0005414484819
-0.0004286464743,,-0.0007470550668,,-0.0009100408717,,-0.0005025686385,,-0.000703012329,-0.0007371679964,,-0.0002707061304,-0.0004837467922,,,0.0003683345535,,,-0.0003309405272,-0.0005379171098
-0.0003707543421,,-0.0006320920749,,-0.0007653882591,,-0.0004305404497,,-0.000584493891,-0.0006005366765,,-0.0002484371854,-0.0004165358785,,,0.0003063710814,,,-0.0003006043768,-0.0005207252654
-0.0003331933411,,-0.0005337370867,,-0.0006430523186,,-0.0003651845853,,-0.0004771080415,-0.0004786376191,,-0.000217242847,-0.000349657547,,,0.000250926934,,,-0.0002627848585,-0.0004946643673
-0.0003304855631,,-0.0004653415949,,-0.0005586428065,,-0.000315809069,,-0.0003900363045,-0.0003860583328,,-0.0001816769777,-0.0002895997265,,,0.0002116877,,,-0.0002210177246,-0.0004626810009
-0.0002858038022,,-0.00035190333,,-0.0004230798546,,-0.0002446401439,,-0.000284061688,-0.0002773055431,,-0.0001362049942,-0.0002225262691,,,0.0001848412894,,,-0.0001752735827,-0.0004218198481
-0.0003227692724,,-0.0003250271724,,-0.0003903905269,,-0.0002179535904,,-0.0002316294447,-0.0002337674815,,-0.0001110633511,-0.000180595558,,,0.0001607544792,,,-0.0001399469146,-0.0003871973232
-0.0002545484361,,-0.0002005351642,,-0.0002436587179,,-0.0001422499768,,-0.0001346430782,-0.0001397994166,,-6.61E-05,-0.0001210335473,,,0.0001521007429,,,-9.93E-05,-0.0003404497431
-0.0003476652702,,-0.0002554653747,,-0.0003087934403,,-0.0001606802397,,-0.0001439242643,-0.0001658354395,,-6.68E-05,-0.0001111714143,,,0.0001288862535,,,-8.16E-05,-0.0003130247868
-0.0003590761017,,-0.0002541551881,,-0.0003069103197,,-0.0001518051138,,-0.0001321017665,-0.0001631239256,,-5.82E-05,-9.45E-05,,,0.0001149883835,,,-6.44E-05,-0.0002786574269
-0.0001233512917,,-2.28E-05,,-3.92E-05,,-2.10E-05,,2.77E-06,-1.85E-05,,5.02E-06,-2.25E-05,,,0.0001226352198,,,-2.62E-05,-0.0002159469974
-0.0001931501295,,-0.0001078681328,,-0.0001253929934,,-6.52E-05,,-4.07E-05,-6.74E-05,,-1.53E-05,-3.62E-05,,,9.67E-05,,,-2.54E-05,-0.0001882022582
0.002184110188,,0.002284636766,,0.002666739229,,0.001200059403,,0.001283234616,0.00143687143,,0.0005627919063,0.0005745235683,,,0.0002994491409,,,0.0002325841903,0.0001380860205
-0.0001958692283,,-0.0002103607502,,-0.0002625946553,,-0.0001025833253,,-0.000106026511,-0.0001435630254,,-3.38E-05,-5.11E-05,,,5.35E-05,,,-2.46E-05,-0.0001211732074
0.0001490691721,,0.0001541686322,,0.0001869573398,,7.94E-05,,9.22E-05,9.79E-05,,4.20E-05,3.88E-05,,,5.39E-05,,,1.48E-05,-2.86E-05
-0.0001132086255,,-0.0001247959274,,-0.0001447748779,,-6.29E-05,,-6.69E-05,-7.89E-05,,-2.64E-05,-3.05E-05,,,3.63E-08,,,-1.30E-05,-2.81E-05
-8.32E-05,,-8.88E-05,,-0.0001028626413,,-4.49E-05,,-4.84E-05,-5.55E-05,,-2.05E-05,-2.19E-05,,,-8.76E-06,,,-9.26E-06,-1.12E-05
0.0001477870434,,0.0001579824803,,0.0001803654791,,8.01E-05,,8.51E-05,9.80E-05,,3.68E-05,3.88E-05,,,1.34E-05,,,1.66E-05,2.13E-05
-0.0002014970007,,-0.000216627353,,-0.0002442854148,,-0.0001089367913,,-0.0001154967215,-0.0001340111373,,-5.11E-05,-5.30E-05,,,-1.96E-05,,,-2.30E-05,-2.95E-05
-0.0001064387788,,-0.0001151857412,,-0.000129835804,,-5.90E-05,,-6.21E-05,-7.14E-05,,-2.82E-05,-2.87E-05,,,-1.27E-05,,,-1.25E-05,-1.45E-05
7.82E-05,,8.67E-05,,9.90E-05,,4.36E-05,,4.68E-05,5.45E-05,,2.09E-05,2.14E-05,,,8.35E-06,,,9.40E-06,1.13E-05
-3.88E-06,,-3.63E-06,,-3.66E-06,,-1.96E-06,,-1.86E-06,-2.01E-06,,-8.80E-07,-8.95E-07,,,-8.55E-07,,,-3.76E-07,-4.19E-07
-1.30E-05,,-1.73E-05,,-1.98E-05,,-8.67E-06,,-9.34E-06,-1.09E-05,,-4.10E-06,-4.26E-06,,,-2.22E-06,,,-1.89E-06,-2.27E-06
-8.58E-07,,-2.16E-06,,-2.73E-06,,-1.02E-06,,-1.22E-06,-1.50E-06,,-4.17E-07,-5.27E-07,,,-6.88E-07,,,-2.49E-07,-3.06E-07
